id,kind,stage,loss,learning_rate,seed,epochs,alpha,train_n,train_mae,train_mse,train_rmse,train_bias,validation_n,validation_mae,validation_mse,validation_rmse,validation_bias
US-natural/lstm-post-mae-s43,lstm,posttraining,mae,0.0001,43,5,,245,0.01618356769805273,0.0005420454929199154,0.0232818704772601,-0.005765065012030014,225,0.021927465282711122,0.0008148495478020881,0.028545569670302397,-0.01051181871242265
US-natural/lstm-post-mse-s43,lstm,posttraining,mse,0.0001,43,5,,245,0.015189263070799389,0.000496624836826344,0.022285081037015413,-0.0022166570012455535,225,0.02131041729096732,0.0007819923934708469,0.027964126903424803,-0.00825467744019568
US-natural/lstm-post-mae-s44,lstm,posttraining,mae,0.0001,44,5,,245,0.014574285263188803,0.0005097882268885514,0.02257849035893568,-0.0019240128532753153,225,0.0191635514574878,0.0006775913073191278,0.02603058407564317,-0.0033515091427194425
US-natural/lstm-post-mse-s44,lstm,posttraining,mse,0.0001,44,5,,245,0.014720823277103686,0.0004893058692301449,0.022120259248710104,-0.0017518024141479965,225,0.01967920706868187,0.0007086331384717543,0.02662016413307315,-0.002079807952512703
US-natural/gru-post-mae-s42,gru,posttraining,mae,0.0001,42,5,,245,0.014570324741876235,0.0005103110855803618,0.022590066081806,0.0008202406130486153,225,0.01774193442204172,0.0005687720763995349,0.02384894287802994,-0.003974424404041041
US-natural/gru-post-mse-s42,gru,posttraining,mse,0.0001,42,5,,245,0.014387299833392247,0.0004808003522211635,0.02192716014948501,0.0011698298526264727,225,0.017903320223159047,0.0005878727846787912,0.024246088028356063,-0.0039924441464769195
US-natural/gru-post-mae-s43,gru,posttraining,mae,0.0001,43,5,,245,0.015952141755000752,0.0006122923603781081,0.024744542032094835,0.0033481169025719928,225,0.02002000150480052,0.0009730183116920523,0.031193241442531303,-0.0026600669925107567
US-natural/gru-post-mse-s43,gru,posttraining,mse,0.0001,43,5,,245,0.015349122635070857,0.0005347709841622585,0.023125115873488256,0.001833363629016782,225,0.018380307936518916,0.000823143007253316,0.028690468927037704,-0.0030080191563924825
US-natural/gru-post-mae-s44,gru,posttraining,mae,0.0001,44,5,,245,0.013209458088208947,0.0003991493987012173,0.019978723650454184,-0.0029159672492409692,225,0.023573967114500497,0.0010023051976067558,0.0316592039951537,-0.010578751632375254
US-natural/gru-post-mse-s44,gru,posttraining,mse,0.0001,44,5,,245,0.013255681191254183,0.0003745827678891138,0.01935414084605963,0.0015930652228148157,225,0.02265869219673709,0.0009562224863706809,0.030922847319913488,-0.006389765509767068
US-natural/dlinear-post-mae-s42,dlinear,posttraining,mae,0.0001,42,5,,245,0.013527626142900618,0.0004332771253355222,0.02081530987844097,-0.0007594138165914735,225,0.02130621226126117,0.0009264914541833921,0.030438322131539908,-0.012208581469591525
US-natural/dlinear-post-mse-s42,dlinear,posttraining,mse,0.0001,42,5,,245,0.01338614395770256,0.00039887796146878524,0.019971929337667536,-0.0011157403881241318,225,0.02330901937044713,0.0010942161200617503,0.033078937710599936,-0.014563720493319367
US-natural/dlinear-post-mae-s43,dlinear,posttraining,mae,0.0001,43,5,,245,0.015085924614191046,0.0004886964039321654,0.02210647877732149,-0.005069364615949608,225,0.021799279444978465,0.000849207466128096,0.02914116446074343,-0.006101615695956086
US-natural/dlinear-post-mse-s43,dlinear,posttraining,mse,0.0001,43,5,,245,0.014518671123188786,0.0004447160789724824,0.021088292462228476,-6.326015151597631e-05,225,0.022174881792994497,0.0009021572924347211,0.030035933353813413,-0.0016616858728753872
US-natural/dlinear-post-mae-s44,dlinear,posttraining,mae,0.0001,44,5,,245,0.015195476716310058,0.000493119494063913,0.02220629401912694,-0.006058588967131884,225,0.023597879560748207,0.0011189252201868729,0.03345033961242954,-0.011851153549687134
US-natural/dlinear-post-mse-s44,dlinear,posttraining,mse,0.0001,44,5,,245,0.014605774314164478,0.0004501574440359985,0.021216914102573883,-0.003270212751970774,225,0.02294017028463286,0.0011023314076489662,0.033201376592680104,-0.010193019354147449
ridge-0.1,ridge,tabular,,,,,0.1,245,2.5519817880785573e-05,1.092956687333211e-09,3.3059895452545084e-05,-4.64658073922359e-19,225,0.03366294390050063,0.0018173917658094766,0.04263087807926875,0.007846124703487924
ridge-1,ridge,tabular,,,,,1.0,245,0.00024775217313848213,1.0285946029461157e-07,0.00032071710321498537,2.1374271400428517e-18,225,0.03328338388529616,0.0017776300786904065,0.04216195060348141,0.007560992502752298
ridge-10,ridge,tabular,,,,,10.0,245,0.0019522390294694069,6.370920669673082e-06,0.002524068277537888,1.3806982767978668e-19,225,0.030520883141395547,0.0015054900292198637,0.038800644701085366,0.0054400771432077995
boosting,boosting,tabular,,,,,,245,0.011642167726149684,0.0002439659052663116,0.015619407967855619,-4.098666304312176e-12,225,0.0158837617118483,0.00047872346217679804,0.02187975004831632,-0.0011661939451083775
