namespace,concept,unit,period_kind,partition,raw_rows,invalid_rows,unique_keys,unique_admissible,duplicates,conflicting_rows,ambiguous_keys,publications,first_filed,last_filed,first_start,last_start,first_end,last_end,duration_min_days,duration_max_days,assets_with_raw_rows,assets_with_admissible_facts
us-gaap,NetCashProvidedByUsedInInvestingActivities,CAD,flow_with_start,development_filed_through_2022,7628,0,233,233,7395,0,0,81,2011-04-04,2022-11-09,2004-03-22,2022-07-01,2008-12-31,2022-09-30,90,3207,5,5
us-gaap,NetCashProvidedByUsedInInvestingActivities,CAD,flow_with_start,validation_filed_2023,922,0,31,31,891,0,0,12,2023-02-09,2023-11-09,2020-01-01,2023-07-01,2020-12-31,2023-09-30,90,366,3,3
us-gaap,NetCashProvidedByUsedInInvestingActivities,CNY,flow_with_start,development_filed_through_2022,1260,0,42,42,1218,0,0,18,2012-01-31,2022-10-28,2010-07-01,2021-07-01,2010-09-30,2022-06-30,92,366,1,1
us-gaap,NetCashProvidedByUsedInInvestingActivities,CNY,flow_with_start,validation_filed_2023,150,0,5,5,145,0,0,2,2023-03-24,2023-10-30,2020-07-01,2022-07-01,2021-06-30,2023-06-30,184,365,1,1
us-gaap,NetCashProvidedByUsedInInvestingActivities,ILS,flow_with_start,development_filed_through_2022,336,0,6,6,330,0,0,3,2011-09-14,2012-05-17,2007-01-31,2012-01-01,2010-06-30,2012-03-31,91,1886,1,1
us-gaap,NetCashProvidedByUsedInInvestingActivities,USD,flow_with_start,development_filed_through_2022,8040808,47,160516,160516,7880245,0,0,72107,2009-04-15,2022-12-29,1967-05-26,2022-09-02,2006-12-31,2022-12-01,3,16961,2145,2145
us-gaap,NetCashProvidedByUsedInInvestingActivities,USD,flow_with_start,validation_filed_2023,893320,0,18836,18836,874484,0,0,8513,2023-01-04,2023-12-29,2019-01-01,2023-09-04,2019-03-31,2023-11-30,36,371,2131,2131
us-gaap,NetCashProvidedByUsedInOperatingActivities,CAD,flow_with_start,development_filed_through_2022,7628,0,233,233,7395,0,0,81,2011-04-04,2022-11-09,2004-03-22,2022-07-01,2008-12-31,2022-09-30,90,3207,5,5
us-gaap,NetCashProvidedByUsedInOperatingActivities,CAD,flow_with_start,validation_filed_2023,982,0,34,34,948,0,0,12,2023-02-09,2023-11-09,2020-01-01,2023-07-01,2020-12-31,2023-09-30,90,366,3,3
us-gaap,NetCashProvidedByUsedInOperatingActivities,CNY,flow_with_start,development_filed_through_2022,1260,0,42,42,1218,0,0,18,2012-01-31,2022-10-28,2010-07-01,2021-07-01,2010-09-30,2022-06-30,92,366,1,1
us-gaap,NetCashProvidedByUsedInOperatingActivities,CNY,flow_with_start,validation_filed_2023,150,0,5,5,145,0,0,2,2023-03-24,2023-10-30,2020-07-01,2022-07-01,2021-06-30,2023-06-30,184,365,1,1
us-gaap,NetCashProvidedByUsedInOperatingActivities,ILS,flow_with_start,development_filed_through_2022,560,0,10,10,550,0,0,3,2011-09-14,2012-05-17,2007-01-31,2012-01-01,2010-06-30,2012-03-31,90,1886,1,1
us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,flow_with_start,development_filed_through_2022,8327598,47,165275,165275,8162276,0,0,73727,2009-04-15,2022-12-29,1967-05-26,2022-09-02,2006-12-31,2022-12-01,3,16961,2211,2211
